"Measure/
Dimension",Attribute Name,,Status,Attribute / Hierarchy,Remarks,Display Name,Source,Logics,Part of Jan Release,,
Dimension,Period_Name,,Yes,Attribute,present as attribute,Period,SDG Assets,View Period_Name as per SDG Assets against LE_ID.,Y,,4AM_SF_EIM_TranAnalytics_V02
Dimension,Client_Group_ID,,Yes,Attribute,need to be joined,Client Group ID,Client Static,View Client Group ID as per Client Static against LE ID.,Y,,
Dimension,Client_Group_Name,,Yes,Attribute,need to be joined,Client Group Name,Client Static,View Client Group Name as per Client Static against LE ID.,Y,,
Dimension,Client_Grp_Segment,,Yes,Attribute,not available ,Client Grp Segment,Client Static,View Client Grp Segment as per Client Static against LE_ID.,Y,,
Dimension,Client_Segment,,Yes,Hierarchy,hierarchy is present,Client Segment,Segment Hierarchy,View Client_Segment as per Segment Hierarchy against Client_Sub_Segment_ID.,Y,,
Dimension,Client_Sub_Segment,,Yes,Hierarchy,inside client segment hierarchy,Client Sub Segment,Segment Hierarchy,View Client_Sub_Segment as per Segment Hierarchy against Client_Sub_Segment_ID.,Y,,
Dimension,GAM_Location_Abbr,,Yes,Attribute,present as attribute,GAM Location Abbr,SDG Assets,View GAM_Location_Abbr as per SDG Assets against LE_ID.,Y,,
Dimension,Client_Grp_Domicile_Location,,Yes,Attribute,not present( client domecile region is present),Client Group Domicile Location,Client Static,View Client Grp Domicile Location as per Client Static against LE ID.,Y,,
Dimension,Client_ID,,Yes,Attribute,need to be joined,Client ID,Client Static,View Client ID as per Client Static against LE ID.,Y,,
Dimension,Client_Name,,Yes,Attribute,need to be joined,Client Name,Client Static,View Client Name as per Client Static against LE ID.,Y,,
Dimension,LE_ID,,Yes,Attribute,present as attribute,LE ID,SDG Assets,View LE_ID as per SDG Assets against LE_ID.,Y,,
Dimension,Client_Domicile_Region,,Yes,Attribute,need to be joined,Client Domicile Region,Client Static,View Client Domicile Region as per Client Static against LE ID.,Y,,
Dimension,FOL_Location,,Yes,Attribute,present as attribute,FOL Location,SDG Assets,View FOL_Location as per SDG Assets against LE_ID.,Y,,
Dimension,Ultimate_Parent_Location,Need to check with Raja ,Yes,Attribute,present as attribute,Ultimate Parent Location,SDG Assets,View Ultimate_Parent_Location as per SDG Assets against LE_ID.,Y,,
Dimension,Ultimate_Parent_Region,,Yes,Hierarchy,hierarchy is present,Ultimate Parent Region,Country Hierarchy,View Region_Name as per Country Hierarchy against Ultimate_Parent_Location_Abbr.,Y,,
Dimension,L1_Mgt_Prod_Area_Desc,Management prod hierarchy,Yes,Hierarchy,L1_Mgt_Prod_Desc is present,L1 Mgt Prod Des,Product Hierarchy,View L1_Mgt_Prod_Area_Desc as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Dimension,L3_Mgt_Prod_Seg_Desc,,Yes,Hierarchy,not present,L3 Mgt Prod Des,Product Hierarchy,View L3_Mgt_Prod_Seg_Desc as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Dimension,L4_Mgt_Prod_SubSeg_Desc,,Yes,Hierarchy,not present,L4 Mgt Prod Des,Product Hierarchy,View L4_Mgt_Prod_SubSeg_Desc as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Dimension,L7_Mgt_Prod_Desc,,Yes,Attribute,present as attribute,L7 Mgt Prod Des,SDG Assets,View L7_Mgt_Prod_Desc as per Product Hierarchy against L7_Mgt_Prod_Code.,Y,,
Measure,Net_Interest_Income_YTD,,Yes,Measures,Not Present,NII YTD,SDG Assets,View Net_Interest_Income_YTD as per SDG Assets against LE_ID.,Y,,
Measure,Non_Funded_Income_YTD,,Yes,Measures,Not present,NFI YTD,SDG Assets,View Non_Funded_Income_YTD as per SDG Assets against LE_ID.,Y,,
Measure,Total_Revenue_YTD,,Yes,Measures,Present as measure,Total Revenue YTD,SDG Assets,View Total_Revenue_YTD as per SDG Assets against LE_ID.,Y,,
Measure,PE_Assets,,Yes,Measures,Present as measure,PE Assets,SDG Assets,View PE_Assets as per SDG Assets against LE_ID.,Y,,
Measure,Risk_Weighted_Asset_RWA,,Yes,Measures,Present as measure,RWA,SDG Assets,View Risk_Weighted_Asset_RWA as per SDG Assets against LE_ID.,Y,,
Measure,Avg_Assets_YTD,,Yes,Measures,Present as measure,Avg Assets YTD,SDG Assets,View Avg_Assets_YTD as per SDG Assets against LE_ID.,Y,,
Measure,PE_Assets_&_Contingents,,Yes,Measures,Present as measure,PE Assets & Contingents,SDG Assets,View PE_Assets_&_Contingents as per SDG Assets against LE_ID.,Y,,
Measure,Avg_Assets_&_Contingents_YTD,,Yes,Measures,Present as measure,Avg Assets & Contingents YTD,SDG Assets,View Avg_Assets_&_Contingents_YTD as per SDG Assets against LE_ID.,Y,,
Measure,Net_Interest_Income_MTD,,Yes,Measures,not available ,NII MTD,SDG Assets,View Net_Interest_Income_MTD as per SDG Assets against LE_ID.,Y,,
Measure,Total_Revenue_MTD,,Yes,Measures,Present as measure,Total Revenue MTD,SDG Assets,View Total_Revenue_MTD as per SDG Assets against LE_ID.,Y,,
Dimension,GAM_ID,,Yes,Attribute,Present as attribute,GAM ID,SDG Assets,View GAM_ID as per SDG Assets against LE_ID.,Y,,
Dimension,FAM_ID,,Yes,Attribute,Present as attribute,FAM ID,SDG Assets,View FAM_ID as per SDG Assets against LE_ID.,Y,,
Measure,Total_Limit_CAT1_Outer,,Yes,Measures,present as measure,Total Limit CAT1 Outer,SDG Assets,View Total_Limit_CAT1_Outer as per SDG Assets against LE_ID.,Y,,
Dimension,FOL_Region,,Yes,Hierarchy,hierarchy is present,FOL Region,Country Hierarchy,View Region_Name as per Country Hierarchy against FoL_Location_Abbr.,Y,,
Dimension,Client_Domicile_Location,,Yes,Attribute,client domicile region is present in segment,Client Domicile Location,Client Static,View Client Domicile Location as per Client Static against LE ID.,Y,,
Dimension,Client_Grp_Domicile_Region,,Yes,Attribute,need to be joined,Client Group Domicile Region,Client Static,View Client Grp Domicile Region as per Client Static against LE ID.,Y,,
Dimension,LE_Name,Le code need to be associated,Yes,Attribute,need to be joined,LE Name,SDG Assets,View LE_Name as per SDG Assets against LE_ID.,Y,,
Dimension,FAM_Location_Abbr,,Yes,Attribute,Present as attribute,FAM Location Abbr,SDG Assets,View FAM_Location_Abbr as per SDG Assets against LE_ID.,Y,,
Dimension,L2_Mgt_Prod_SubArea_Desc,,Yes,Hierarchy,inside L1_mgt_prod_area_desc,L2 Mgt Prod Des,Product Hierarchy,View L2_Mgt_Prod_SubArea_Desc as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Measure,Non_Funded_Income_MTD,,Yes,Measures,Not present,NFI MTD,SDG Assets,View Non_Funded_Income_MTD as per SDG Assets against LE_ID.,Y,,
Dimension,Client_ISIC_Code,,Yes,Attribute,not present,Client ISIC Code,Client Static,View Client ISIC Code as per Client Static against LE ID.,Y,,
Dimension,Client_ISIC_Description,,Yes,Attribute,not present,Client ISIC Description,Client Static,View Client ISIC Description as per Client Static against LE ID.,Y,,
Measure,PE_Gross_Liabilities_Abs,,Yes,Measures,present as measure,PE Gross Liabilities & Abs,SDG Assets,View PE_Gross_Liabilities_Abs as per SDG Assets against LE_ID.,Y,,
Measure,Avg_Gross_Liabilities_Abs_YTD,,Yes,Measures,present as measure,Avg Gross Liabilities & Abs YTD,SDG Assets,View Avg_Gross_Liabilities_Abs_YTD as per SDG Assets against LE_ID.,Y,,
Dimension,PSGL_Product_Code,,Yes,Attribute,present as attribute,PSGL Product Code,SDG Assets,View PSGL_Product_Code as per SDG Assets against LE_ID.,Y,,
Dimension,Strategy,,Yes,Attribute,present as attribute,Strategy,SDG Assets,View Strategy as per SDG Assets against LE_ID.,Y,,
Measure,Avg_Assets_MTD,,Yes,Measures,not present,Avg Assets MTD,SDG Assets,View Avg_Assets_MTD as per SDG Assets against LE_ID.,Y,,
Measure,Avg_Assets_&_Contingents_MTD,,Yes,Measures,present as attribute,Avg Assets & Contingents MTD,SDG Assets,View Avg_Assets_&_Contingents_MTD as per SDG Assets against LE_ID.,Y,,
Measure,Avg_Gross_Liabilities_Abs_MTD,,Yes,Measures,present as measure,Avg Gross Liabilities Abs MTD,SDG Assets,View Avg_Gross_Liabilities_Abs_MTD as per SDG Assets against LE_ID.,Y,,
Dimension,SF_Category,,Yes,Attribute,present as attribute,SF Category,SDG Assets,View SF_Category as per SDG Assets against LE_ID.,Y,,
Dimension,SF_Sub_Category,,Yes,Attribute,present as attribute,SF Sub Category,SDG Assets,View SF_Sub_Category as per SDG Assets against LE_ID.,Y,,
Dimension,Industry,,Yes,Attribute,present as attribute,Industry,SDG Assets,View Industry as per SDG Assets against LE_ID.,Y,,
Dimension,Sector,,Yes,Attribute,present as attribute,Sector,SDG Assets,View Sector as per SDG Assets against LE_ID.,Y,,
Dimension,Strategic_Pillar,,Yes,Attribute,present as attribute,Strategic Pillar,SDG Assets,View Strategic_Pillar as per SDG Assets against LE_ID.,Y,,
Dimension,SF_Impact,,Yes,Attribute,not present,SF,SDG Assets,View SF_Impact as per SDG Assets against LE_ID.,Y,,
Dimension,Reporting_Prod_Desc_L1,,Yes,Attribute,present as attribute,Reporting Prod Desc L1,Product Mapping,View Reporting_Prod_Desc_L1 as per Product Mapping File against L7 Mgt Prod Code.,Y,,
Dimension,Reporting_Prod_Desc_L2,,Yes,Attribute,present as attribute,Reporting Prod Desc L2,Product Mapping,View Reporting_Prod_Desc_L2 as per Product Mapping File against L7 Mgt Prod Code.,Y,,
Dimension,Reporting_Prod_Desc_L3,,Yes,Attribute,present as attribute,Reporting Prod Desc L3,Product Mapping,View Reporting_Prod_Desc_L3 as per Product Mapping File against L7 Mgt Prod Code.,Y,,
Dimension,Reporting_Prod_Desc_L4,,Yes,Attribute,present as attribute,Reporting Prod Desc L4,Product Mapping,View Reporting_Prod_Desc_L4 as per Product Mapping File against L7 Mgt Prod Code.,Y,,
Dimension,Client_Sub_Segment_Roll_Up,will chk with dev model,Yes,Hierarchy,not present,Client Sub Segment Roll Up,Segment Hierarchy,View Client_Sub_Segment_Roll_Up as per Segment Hierarchy against Client_Sub_Segment_ID.,Y,,
Dimension,ULT_PARENT_LOCATION_ABBR,,Yes,Attribute,not present,ULT PARENT LOCATION ABBR,SDG Assets,View ULT_PARENT_LOCATION_ABBR as per SDG Assets against LE_ID.,Y,,
Measure,RoRWA %,will chk with dev model,Yes,Measures,present as measure,RoRWA %,To be Derived,View the sum of Rolling_Income 12M divided by Avg_RWA_12M as per SDG Assets.,Y,,
